probe,fc_CD_ileum,fc_UC_colon,fc_CD_colon
7892901,0.2022,-0.0283,-0.1123
7892902,0.0232,0.2893,0.1474
7892903,0.2116,0.0283,0.1871
7892904,0.0732,-0.1383,-0.2374
7892905,0.1229,-0.0926,-0.0102
7892906,0.0623,0.1778,0.0856
7892907,-0.0028,-0.1059,-0.1453
7892908,0.1689,-0.1038,-0.1392
7892909,0.4688,0.1182,0.1743
7892910,0.4916,0.351,0.2444
7892911,0.0166,-0.0789,-0.0949
7892912,-0.0566,-0.196,-0.2596
7892913,-0.1284,-0.1385,-0.0364
7892914,0.1454,-0.017,-0.2896
7892915,0.3153,0.2357,0.0737
7892917,0.2444,-0.028,0.0668
7892918,-0.3725,-0.113,0.0741
7892919,-0.0617,-0.3156,-0.1779
7892920,0.0731,-0.1048,0.0402
7892921,0.0443,0.0167,-0.105
7892922,0.1561,0.074,0.2747
7892923,0.0442,-0.1106,-0.0932
7892924,0.045,0.103,0.1774
7892925,-0.0527,0.0568,-0.0804
7892926,0.6241,-0.1528,0.0607
7892927,-0.0466,-0.0554,-0.117
7892928,0.0185,0.1377,0.2408
7892929,0.0339,0.0741,0.1669
7892930,0.1302,0.0177,0.1354
7892931,-0.0591,-0.0614,-0.11
7892932,0.2054,0.0453,0.0993
7892933,0.0713,-0.2697,-0.2908
7892934,0.0928,0.0727,0.0531
7892935,-0.0931,-0.0661,-0.0322
7892936,-0.0389,-0.1268,-0.3235
7892937,0.1975,0.1416,0.2502
7892938,0.3873,0.2383,0.2683
7892939,-0.097,0.073,0.1045
7892940,0.1759,0.1198,0.1633
7892941,0.1464,-0.0353,-0.1309
7892942,0.0105,0.2747,0.5571
7892944,-0.1098,0.1735,0.1079
7892945,-0.1124,-0.3693,-0.5158
7892946,0.2376,0.0884,-0.1364
7892947,0.0659,-0.4761,-0.3726
7892948,0.183,0.1176,0.2014
7892949,0.2705,0.1523,0.0082
7892950,-0.1874,-0.2881,-0.465
7892951,0.0864,-0.0511,-0.0546
7892952,0.122,0.1752,0.0762
7892953,0.4144,0.3859,0.2138
7892954,-0.0742,-0.4,-0.455
7892955,0.0042,-0.0505,-0.0258
7892956,-0.0085,0.0689,0.129
7892957,-0.2046,-0.0718,0.0712
7892958,0.1045,-0.1907,-0.0823
7892959,0.31,-0.053,-0.2125
7892960,-0.0192,-0.2075,-0.0355
7892961,0.4623,-0.0734,0.0537
7892962,0.4282,0.3603,0.5922
7892963,0.1014,-0.1607,0.0526
7892964,-0.1077,-0.2006,-0.1814
7892965,0.0381,-0.1121,-0.1009
7892966,0.0729,-0.2735,-0.1206
7892967,-0.0856,-0.3216,-0.2174
7892968,0.3229,0.0649,0.255
7892969,0.0967,0.133,0.221
7892970,-0.2574,-0.197,-0.4167
7892972,0.2248,-0.0991,-0.0547
7892973,0.0992,0.015,-0.0157
7892974,0.0378,0.1802,0.2129
7892975,0.0856,0.0313,0.0868
7892976,0.0179,-0.1758,-0.3249
7892977,0.0905,0.1014,-0.0778
7892978,0.211,0.1783,0.4465
7892979,0.3937,0.2477,-0.0671
7892980,0.4146,0.4626,0.2994
7892981,-0.0746,-0.4989,-0.3788
7892982,0.8108,0.0512,0.4452
7892983,-0.0316,0.1262,0.1947
7892984,0.288,0.2798,0.3437
7892985,0.0325,0.0442,0.0331
7892986,-0.0092,-0.1352,-0.2464
7892987,0.0024,0.1004,0.199
7892988,-0.0137,-0.0524,-0.1306
7892989,0.1111,-0.1622,-0.223
7892990,0.2018,0.18,0.6895
7892991,0.0589,0.2361,0.2074
7892992,0.1321,0.0781,0.1508
7892993,0.0287,0.0934,0.1575
7892994,0.0317,0.0718,0.0451
7892995,0.0337,-0.1369,-0.1747
7892996,-0.0403,0.2759,0.2671
7892997,-0.0227,-0.2768,-0.2567
7892998,-0.0763,-0.3626,-0.4088
7892999,-0.3571,0.2475,0.1672
7893000,-0.0726,-0.2024,-0.3193
7893001,-0.1358,-0.3148,-0.141
