draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
214,72.54706941343942,47.701133384905646,100.0,100.0,30.375447208706262,13.087262423819567,6.0229740136193755,2.164175535934798,4.501635190312891,1.6009234486780488
215,74.86167940069342,50.36465882820733,100.0,100.0,28.950692067652373,12.19124332478474,5.441293251037537,1.922997936078441,4.157330765656098,1.4564477669525067
216,73.707491797805,45.05847619334325,100.0,100.0,28.993056775788663,10.670479702832147,7.138174903807015,2.199316742197388,5.688766227805719,1.7340195210609144
217,81.50885747575667,56.01950438191834,100.0,100.0,22.81608012669718,7.869614898068466,8.899815586929815,2.7454215052739817,6.510211217188855,1.972498406670764
218,77.76848450262398,52.84084889806267,100.0,100.0,26.37276336086465,10.29225872868188,7.611760465137307,2.5711213978933722,5.631706156428018,1.875678792432156
219,74.02693999291166,49.613230716929515,100.0,100.0,29.728825750001153,12.751769597659113,11.200854363686242,4.175724972734618,8.362257023316621,3.0562116790439853
220,75.80304950388626,44.634348698410676,100.0,100.0,27.48828782369347,8.888249450748265,6.039460402111107,1.6271635915156124,4.858545740468212,1.297090143358437
221,80.45970966005514,55.70844537275275,100.0,100.0,23.4551389198128,8.558860744972375,9.671482296228529,3.1669713453624015,7.344936543025826,2.364180989405662
222,67.54710762490194,38.468486827608764,100.0,100.0,36.15662434641579,14.537810250791416,10.858244654244464,3.5296057824799942,7.957323692084817,2.5310361414042526
223,71.90823203572805,42.772181247447406,100.0,100.0,31.44529147144617,11.810974398568675,5.47203555911363,1.6621266088857944,4.197680448004926,1.2631859643910337
224,71.35328166129754,43.495982834907565,100.0,100.0,31.768613269127787,12.579359830872194,7.267801900943239,2.3648807277763306,5.601799380314409,1.8009502962915147
225,75.85288152676904,52.78010672143738,100.0,100.0,29.649970054155382,13.041052274800968,7.631519067810821,2.855891208286443,6.049132246261513,2.2397166035135307
