gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
ABCA9-AS1,-0.016,0.768649,0.0684,0.317082
PRO1804,-0.631,0.144026,-0.5242,0.224744
RAI1-AS1,0.0,nan,0.0,nan
LOC105274304,0.3151,0.074218,0.1915,0.276908
THRA1/BTR,2.1075,0.0,1.7214,0.0
SMCR2,-0.0164,0.71493,-0.0296,0.494914
LINC02563,0.0,nan,0.0,nan
SNHG25,-0.4257,0.009676,-0.4921,0.001792
SNORD134,0.0066,0.321537,0.0,nan
SNORA90,0.0,nan,0.0,nan
LINC02003,-0.0422,0.70832,-0.0822,0.466084
LINC00868,0.0,nan,0.0,nan
SNHG30,-0.7056,0.027278,-0.6471,0.040309
LOC102724532,-1.0558,1.5e-05,-0.8165,0.000344
LOC101927727,1.8996,6e-06,1.4887,4.6e-05
MARCHF10-DT,-0.1656,0.470457,-0.0747,0.755079
LOC101928251,0.258,0.007901,0.1998,0.050748
LOC101928475,0.0182,0.169193,0.0408,0.097986
LINC01970,0.4933,0.088883,0.5713,0.054717
LOC105371485,0.0,nan,0.0216,0.160296
DHX33-DT,0.0,nan,0.0,nan
LINC02079,0.0,nan,0.0111,0.322778
LOC105371795,-0.3214,0.357507,-0.2214,0.524037
LOC105371849,-0.1577,0.640225,-0.2347,0.494509
LOC105371925,0.006,0.321537,0.0119,0.322778
LOC101928000,-0.2382,0.502627,-0.1901,0.593985
LHX1-DT,0.0,nan,0.0,nan
LOC105371703,0.0185,0.321537,0.0,nan
LOC105371814,0.006,0.321537,0.0,nan
LOC105371824,-0.023,0.811954,0.1285,0.23498
LOC101927855,0.0287,0.056624,0.0145,0.322778
LOC101928021,0.0106,0.321537,0.0,nan
LOC101929552,0.0783,0.217992,0.0026,0.95455
LINC01976,-0.0403,0.54748,-0.0633,0.343436
LOC105371430,0.0,nan,0.0,nan
LOC105371592,0.0,nan,0.0,nan
LOC105371730,-1.0194,0.013328,-0.6423,0.094449
LOC105371789,0.0,nan,0.0,nan
LOC105371899,0.0181,0.321537,0.0084,0.322778
SEPTIN9-DT,0.0,nan,0.0,nan
LOC107985033,0.1346,0.442241,0.113,0.523497
LOC108783654,-0.3939,0.080159,-0.3511,0.172896
UBBP4,-0.0476,0.858015,-0.2429,0.381315
NOS2P3,0.0989,0.005656,0.2094,0.004961
LINC01996,-0.1839,0.406518,-0.1254,0.570563
SNORA21B,0.0,nan,0.0,nan
SNORD163,0.0,nan,0.0,nan
LOC105371880,-0.1247,0.665183,-0.0714,0.806171
KRT17P2,0.0,nan,0.0,nan
USP32P3,0.1931,0.62858,0.2187,0.589183
KRT17P1,0.0,nan,0.0,nan
LINC01977,0.0346,0.749753,-0.0267,0.821404
CDRT3,0.0565,0.615982,0.1738,0.196153
LOC646030,-0.0269,0.46245,-0.0344,0.343436
LINC01975,0.0,nan,0.0,nan
LINC02093,0.0081,0.321537,0.0,nan
LINC02090,0.0067,0.321537,0.0108,0.322778
LINC02088,0.0,nan,0.0,nan
LINC01992,0.0,nan,0.0242,0.160259
LINC02073,0.1503,0.508915,0.1374,0.547733
LINC01982,0.0,nan,0.0,nan
LINC02089,0.0,nan,0.0,nan
MIR2117HG,0.0,nan,0.0,nan
TBC1D27P,0.5831,0.000217,0.0338,0.716513
LOC339192,0.0328,0.235911,0.0162,0.160035
LOC105371855,0.0932,0.019161,0.0686,0.149883
LOC100288728,0.0,nan,0.0,nan
LOC284191,-0.0328,0.927928,-0.179,0.620785
LOC400622,-0.0132,0.732476,0.0163,0.791898
LOC400627,-0.7096,0.000416,-0.6506,0.001103
LOC100287808,-0.2033,0.455433,0.011,0.970225
LOC101928343,0.524,5e-06,0.3791,0.00058
LOC105371763,1.2779,0.002235,1.3875,0.001203
DCXR-DT,-0.3938,0.227378,-0.3932,0.228357
LOC79999,0.0,nan,0.0,nan
LOC388436,0.0,nan,0.0,nan
ZNF286B,-0.2412,0.323159,-0.3105,0.212296
C17orf102,0.0198,0.159655,0.0,nan
C17orf82,0.062,0.537794,0.0533,0.618388
LINC02693,0.1247,0.596421,0.1175,0.632286
TMEM99,-2.5138,0.0,-2.2997,0.0
MIR548BC,0.0,nan,0.0,nan
MIR10226,0.0,nan,0.0,nan
CCDC144NL,0.0659,0.077984,0.0692,0.013879
FLJ45513,1.0904,4.6e-05,1.1201,3.5e-05
LOC100130370,-0.0578,0.522691,-0.085,0.343436
LOC100134391,0.0057,0.321537,0.0102,0.322778
C17orf112,0.0,nan,0.0,nan
LOC101929141,0.0275,0.163352,0.0766,0.192499
LOC101929578,0.0043,0.321537,0.0,nan
LOC101929950,0.0,nan,0.0,nan
LOC102724624,0.0,nan,0.0,nan
LOC105371566,-0.2513,0.38245,-0.0542,0.845626
LOC105371910,-0.1045,0.703041,-0.2122,0.439128
FECH,-0.7207,0.001956,-0.4726,0.029723
LAMA3,0.3053,0.200451,-0.1511,0.514538
NPC1,0.606,0.002355,0.7307,0.000554
TTR,-0.665,0.007903,-0.6574,0.008408
MC2R,0.0,nan,0.0,nan
BCL2,-0.4692,0.136854,-0.3791,0.209344
RPL17,-1.032,0.069443,-1.0503,0.081355
ATP5F1A,-0.5055,1e-06,-0.3561,0.00014
SMAD2,-0.3313,0.035196,-0.2516,0.092726
LDLRAD4,-0.3561,0.264204,-0.4361,0.198789
DLGAP1,0.0,nan,0.0,nan
SS18,-0.0763,0.622026,0.08,0.597495
C18orf25,0.0534,0.840924,-0.0192,0.943127
ARHGAP28,0.3303,0.209701,0.2744,0.237381
GRP,0.1199,0.024777,0.0,nan
TYMSOS,-0.0827,0.687614,-0.1963,0.403446
SEH1L,-0.2409,0.062019,-0.2912,0.030889
MBP,0.3367,0.184048,0.2506,0.310776
CELF4,0.0219,0.09914,0.1054,0.077341
PSMA8,0.0215,0.321537,0.0,nan
RAB12,-0.2585,0.003913,-0.1475,0.074743
SERPINB8,0.634,0.289383,0.8745,0.155329
SLC25A52,0.0,nan,0.0,nan
C18orf32,-0.3222,0.001484,-0.2486,0.010185
SMIM21,0.0085,0.321537,0.0,nan
USP14,-0.0963,0.501713,-0.0135,0.92204
SKOR2,0.0656,0.139981,0.0564,0.09781
ZBTB7C,-2.1723,0.0,-1.6976,0.0
SKA1,1.7439,0.000692,1.6318,0.001122
SERPINB7,-1.5759,0.000177,-1.0982,0.003262
PPP4R1,1.0732,1e-06,0.8845,6e-06
DIPK1C,-0.8934,0.023297,-0.8192,0.034801
TYMS,1.1607,0.028239,1.2844,0.018008
TMEM200C,-0.5298,0.13205,-0.4315,0.219566
MYO5B,-0.526,0.00133,-0.3695,0.013725
ANKRD12,0.9068,0.000736,0.75,0.002776
TCF4,-0.3529,0.000174,-0.5381,0.0
CCDC102B,2.3478,2.1e-05,1.5556,0.000703
TXNDC2,0.0912,0.020826,0.0972,0.013159
FAM210A,1.7879,0.0,1.2277,4e-06
INO80C,-0.3325,0.072591,-0.383,0.046804
SLC39A6,0.0912,0.291777,0.1684,0.054243
ADCYAP1,1.1202,0.094203,-0.5614,0.365817
CABLES1,-2.2972,0.0,-1.7262,0.0
ELOA3B,0.0,nan,0.0,nan
CXXC1,-0.1246,0.447095,0.1216,0.488271
PTPRM,0.0504,0.799132,-0.1255,0.549913
CCDC178,-0.0557,0.711722,-0.1389,0.343436
LRRC30,0.0325,0.321537,0.0,nan
ZSCAN30,0.7102,0.076122,0.7472,0.060674
HMSD,0.4938,0.005199,0.6629,0.000975
MRO,0.3651,0.005488,0.147,0.085232
DTNA,-1.3176,0.036157,-1.5173,0.019885
SLC14A1,-2.6714,0.000117,-2.4906,0.00017
SPIRE1,-0.1042,0.486358,-0.1344,0.398894
SETBP1,-1.0765,0.001371,-0.8205,0.008084
DSG4,0.0958,0.015098,0.0491,0.165113
ZNF397,0.0203,0.956581,0.0401,0.914876
TTC39C,-0.58,1.4e-05,-0.5167,7.1e-05
HSBP1L1,-0.7037,0.003982,-0.5319,0.019743
KCTD1,-1.0019,0.007023,-0.5332,0.109083
POTEC,0.0887,0.104779,0.0199,0.322778
GNAL,-0.9119,1.8e-05,-0.6193,0.000893
CTIF,-0.8495,8e-06,-0.8499,7e-06
PRELID3A,0.3629,0.362856,0.2941,0.458681
FBXO15,0.0494,0.519106,0.1463,0.12044
GREB1L,-1.0442,0.001044,-1.0233,0.001281
SERPINB2,0.4506,0.059671,0.0451,0.836243
ZBTB14,-0.7645,0.002668,-0.8426,0.001578
MAPRE2,-1.0139,1.3e-05,-0.8082,0.000162
HRH4,0.8038,3e-06,0.6913,0.000124
CCDC68,-0.6236,0.032436,-0.3653,0.197951
MYL12B,0.4076,0.008458,0.4104,0.008617
NEDD4L,-0.6078,0.251573,-0.3419,0.516876
AKAIN1,-0.2936,0.609495,-0.3226,0.575065
LOXHD1,0.2245,0.001223,0.2894,0.001763
ZNF407,1.3284,0.000515,1.1452,0.00148
SLC66A2,-0.2605,0.149108,-0.202,0.256987
ME2,0.5525,0.009967,0.7146,0.001998
CNDP2,1.0267,0.0,1.1545,0.0
RBFA,0.0017,0.992183,-0.1608,0.414755
C18orf63,0.115,0.034842,0.0,nan
CYB5A,-1.1579,0.000178,-0.7213,0.007641
SMAD7,1.2662,0.012388,1.2306,0.013917
RNF138,-0.1131,0.621257,-0.1758,0.515896
NOL4,0.0,nan,0.0,nan
RPL17-C18orf32,-0.2387,0.099995,-0.1855,0.204763
NETO1,0.0942,0.03329,0.0205,0.322778
C18orf21,0.0839,0.854497,0.0615,0.896366
CTDP1,0.0084,0.970994,-0.1031,0.667871
MBD1,0.1306,0.681121,0.0768,0.810797
PTPN2,1.8077,0.0,1.8472,0.0
GAREM1,-0.5171,0.030279,-0.3121,0.151212
OSBPL1A,-0.708,0.0,-0.696,0.0
SLC14A2,-0.1373,0.343436,-0.1373,0.343436
ELP2,-0.7504,0.001598,-1.2007,0.000841
MPPE1,-0.9155,1e-06,-0.8002,0.000331
ELOA3D,0.0,nan,0.0,nan
CHST9,-0.4035,0.067698,-0.4031,0.067672
RNF165,-1.6898,0.000587,-1.2192,0.005802
BOD1L2,-0.0344,0.343436,-0.0344,0.343436
TNFRSF11A,-0.5488,0.028444,-0.5091,0.052598
CDH19,-1.9601,0.00136,-0.7821,0.127322
TPGS2,-0.0343,0.887596,0.0444,0.850834
CEP76,0.6247,0.236379,0.701,0.189625
RIT2,0.0,nan,0.0,nan
RMC1,0.841,0.112503,0.8181,0.128244
ANKRD62,0.0453,0.738356,-0.0678,0.576402
NFATC1,0.0774,0.785256,-0.0972,0.735387
TGIF1,1.0713,0.132072,0.9658,0.170437
CIDEA,-2.954,0.000446,-2.5379,0.001376
EPB41L3,1.2323,0.001876,1.1025,0.003915
FHOD3,-1.6747,0.0,-1.9233,0.0
SLC35G4,0.0,nan,0.0,nan
C18orf54,0.4245,0.444244,0.1473,0.791034
CLUL1,0.0139,0.321537,0.0,nan
SERPINB11,0.0,nan,0.0,nan
SNRPD1,0.1301,0.36574,0.2984,0.067212
MAPK4,-0.6597,0.032489,-0.6549,0.033533
TAF4B,0.0511,0.835292,-0.0358,0.895719
MYL12A,0.4375,0.091191,0.5025,0.051811
RPRD1A,-0.0384,0.818758,-0.2252,0.26421
TXNL4A,-0.32,0.160891,-0.3358,0.184138
TUBB6,1.3158,5e-06,1.5293,0.0
CD226,2.2498,9.4e-05,1.7599,0.000767
ATP9B,0.7784,0.100216,0.6162,0.182381
ZNF236,0.7023,0.005814,0.6953,0.006177
ZADH2,-0.4391,0.018778,-0.3072,0.083706
SERPINB13,2.3402,0.000119,1.824,0.001084
SERPINB12,-0.8019,0.142875,-0.9073,0.099673
SEC11C,0.5885,0.01052,0.4887,0.02431
DYNAP,0.3028,0.00225,0.3242,0.000694
ST8SIA5,-0.0017,0.99632,-0.1442,0.697157
LIPG,2.7464,4.4e-05,2.6241,5.2e-05
PIK3C3,0.1031,0.52482,0.0962,0.554658
ZNF24,0.2595,0.006791,0.2978,0.003958
MEP1B,0.0136,0.321537,0.0962,0.05963
CDH2,-0.1744,0.72934,-0.8528,0.10801
TSHZ1,-0.9594,0.0,-0.8827,0.0
ZNF521,-0.4849,0.023701,-0.5271,0.023648
CABYR,0.1466,0.589613,0.2428,0.407241
ANKRD29,-0.7211,0.000982,-0.9632,1.5e-05
ABHD3,1.3158,0.001289,0.9738,0.010392
RNMT,0.7977,4e-06,0.4637,0.001247
METTL4,0.2415,0.360866,0.4175,0.113737
CDH7,-0.2918,0.52622,-0.4575,0.321658
AQP4,0.0,nan,0.0,nan
RTTN,-0.4696,0.223273,-0.4368,0.269712
ZNF532,0.0861,0.931111,0.2256,0.822848
ENOSF1,0.0956,0.683158,0.1617,0.482556
HDHD2,0.2497,0.076451,0.3713,0.041617
TMEM241,0.6337,0.333259,0.6876,0.300476
ZNF396,-0.2176,0.311665,-0.0348,0.87848
KIAA1328,-0.3556,0.366678,-0.4175,0.312758
PIAS2,0.1319,0.460164,0.0003,0.998896
L3MBTL4,-0.7486,0.02581,-0.4243,0.185703
B4GALT6,-0.5021,0.145289,-0.2657,0.42606
RELCH,-0.2323,0.303915,-0.3939,0.17249
RIOK3,0.2836,0.176789,0.2367,0.251672
C18orf12,0.0203,0.71309,-0.0405,0.343436
TMX3,1.0448,0.000147,1.0111,0.0002
POLI,0.3216,0.673123,0.3041,0.694553
DYM,-0.5941,0.009857,-0.6018,0.014955
KATNAL2,-0.1794,0.666209,-0.4083,0.33857
ELOA3C,0.0,nan,0.0,nan
TUBB8B,0.0,nan,0.0,nan
LOC112577592,0.0,nan,0.0,nan
ANKRD30B,-0.2038,0.396363,-0.3645,0.132373
STARD6,-0.0895,0.244166,-0.0811,0.292902
ATP8B1,0.2421,0.25939,-0.0103,0.961297
GALR1,-0.489,0.191716,-0.3208,0.389949
DSC3,-0.5655,0.00429,-0.047,0.756589
DSG1,-1.4505,1e-06,-0.8966,0.000425
DSG2,-0.3315,0.160858,-0.4935,0.054603
DSG3,2.1394,1e-06,1.825,7e-06
KDSR,-0.3507,0.00039,-0.195,0.024475
SERPINB5,-0.8589,0.023079,-0.3839,0.251928
RBBP8,0.411,0.013739,0.6027,0.001098
SERPINB4,7.5359,0.0,6.5804,0.0
VAPA,0.0195,0.896203,0.0664,0.659769
MYOM1,-1.9094,9e-06,-1.6811,3e-05
NAPG,0.5786,0.014288,0.6389,0.008478
MBD2,-0.0055,0.962841,0.1012,0.398903
CETN1,0.0,nan,0.0,nan
RAB27B,-1.153,4.8e-05,-0.7457,0.002307
SOCS6,0.0668,0.747781,0.0257,0.899751
NARS1,0.2323,0.076535,0.2907,0.033089
TXNL1,-0.0663,0.392012,-0.0041,0.961506
ONECUT2,-0.4663,0.3387,-0.5665,0.251965
VPS4B,0.4789,0.001338,0.4423,0.002306
DSC1,-2.6107,0.0,-1.6335,0.0
DSC2,2.4243,0.0,1.9359,0.0
SERPINB10,0.1723,0.424074,0.1251,0.570713
THOC1,-0.0973,0.628149,-0.1623,0.423006
DCC,0.1306,0.673382,-0.1032,0.73769
GATA6,-0.3873,0.347912,-0.6976,0.10741
SMAD4,-0.552,1e-05,-0.4683,5.6e-05
ROCK1,0.9072,7e-06,0.876,9e-06
YES1,0.2563,0.07358,0.0895,0.510754
LAMA1,0.9104,0.012885,0.7488,0.040006
LMAN1,1.2817,1e-06,1.0134,6e-06
MC4R,0.0185,0.80603,-0.0531,0.395641
MC5R,0.0,nan,0.0078,0.322778
NDC80,1.9623,0.000369,1.7723,0.000759
ACAA2,-0.5401,0.00571,-0.0483,0.797898
MALT1,0.363,0.022245,0.3039,0.048027
RALBP1,0.056,0.681151,0.0103,0.941317
AFG3L2,-0.3621,5.3e-05,-0.2435,0.0037
RAB31,1.949,0.0,1.7216,0.0
SERPINB3,4.8935,0.0,4.0152,1e-06
KCNG2,0.0,nan,0.0,nan
PIGN,0.065,0.698786,0.1302,0.465335
RAX,0.3915,0.030403,0.4992,0.012677
TIMM21,-0.2516,0.271754,-0.1238,0.585087
IMPA2,-0.8657,0.001309,-0.4445,0.058072
ZNF516,0.1614,0.288363,0.0676,0.668507
LPIN2,0.9703,8e-06,0.8559,3e-05
ADNP2,0.0038,0.981678,0.0061,0.971336
TRAPPC8,0.3256,0.2457,0.2869,0.307677
MTCL1,0.3567,0.215938,-0.0336,0.905966
WDR7,0.206,0.170875,0.3422,0.016932
SMCHD1,1.6211,0.0,1.448,0.0
ST8SIA3,0.0528,0.047497,0.0383,0.202427
IER3IP1,-0.2535,0.116617,-0.1989,0.205633
ELOA2,0.3581,0.041952,0.3064,0.092085
MEX3C,0.0648,0.803655,0.2071,0.43937
ZCCHC2,1.1001,0.00224,1.4735,0.000233
RNF125,-0.9976,0.003395,-0.8295,0.010456
MOCOS,-0.4141,0.2118,-0.1607,0.639165
IMPACT,-0.6013,0.000777,-0.5674,0.001568
ELAC1,-0.0672,0.732669,0.0932,0.651099
PSMG2,0.25,0.297276,0.4734,0.062878
CHMP1B,-0.0557,0.774216,-0.1592,0.421253
GALNT1,0.2923,0.083251,-0.064,0.685932
TWSG1,0.3864,0.132401,0.0228,0.925136
MIB1,0.2938,0.102903,0.2153,0.220845
SYT4,-0.0322,0.82552,-0.1018,0.481897
KLHL14,-0.9803,0.003551,-0.9552,0.004202
EPG5,0.5726,0.009317,0.3912,0.058191
NDUFV2,0.2907,0.004205,0.4144,0.00021
PMAIP1,1.062,9e-05,1.1322,4.4e-05
PIEZO2,-2.3154,0.0,-2.2781,0.0
PSTPIP2,1.574,0.0,1.6414,0.0
ASXL3,0.0201,0.972996,-0.0311,0.958515
CDH20,-0.1293,0.581606,-0.1864,0.427564
EMILIN2,0.8166,0.001381,1.0121,0.000244
CEP192,0.812,0.00015,0.7812,0.000198
DSEL,0.2777,0.066183,-0.1394,0.430352
PARD6G,-1.6641,0.000161,-1.4503,0.000596
CNDP1,-0.8594,0.038892,-0.678,0.093542
ESCO1,1.1849,4.7e-05,0.9825,0.00031
ALPK2,1.5366,1.3e-05,0.7521,0.011424
COLEC12,-0.8906,0.0,-0.9715,0.0
CCBE1,-1.0626,2.2e-05,-1.007,6.7e-05
HAUS1,0.2075,0.663063,0.0557,0.908566
CFAP53,-0.3888,0.224742,0.0518,0.873664
ZNF519,-0.2972,0.470395,-0.2988,0.470692
ELOA3,0.0,nan,0.0,nan
DOK6,-0.3854,0.184697,-0.7412,0.019934
APCDD1,-1.4367,0.0,-1.6537,0.0
SALL3,0.3882,0.000352,0.1519,0.083382
CTAGE1,-0.0304,0.894015,-0.1586,0.478259
RNF152,-0.7289,0.000357,-0.5681,0.003003
CPLX4,-0.362,0.508435,-0.2261,0.681527
CBLN2,0.4192,0.105317,0.009,0.971411
PHLPP1,-0.5779,0.001332,-0.3378,0.036395
SIGLEC15,0.7347,0.03663,0.7689,0.030778
SNORD58A,0.3135,0.000248,0.2086,0.013944
SNORD58B,0.0094,0.321537,0.0,nan
KC6,0.011,0.169619,0.0,nan
SNORA37,-0.0032,0.961632,0.0005,0.994005
SCARNA17,0.5743,0.171507,0.4342,0.289508
WBP11P1,-0.3848,0.36465,-0.3515,0.4062
SNORD58C,0.814,0.0,0.3202,0.011889
LINC00667,-0.3256,0.019243,-0.5418,0.000297
LINC00908,-1.1914,0.004086,-1.1789,0.004337
LINC00470,0.0,nan,0.0678,0.164912
OACYLP,0.0,nan,0.0,nan
CXADRP3,0.0,nan,0.0164,0.159906
DLGAP1-AS1,0.7336,0.057123,0.6398,0.094808
PCAT18,-0.5946,0.049049,-0.4743,0.107597
MIR924HG,0.0428,0.814296,-0.0191,0.922395
LOC100192426,0.0124,0.160703,0.0,nan
LINC00909,0.0068,0.971918,0.1038,0.604466
ZNF271P,-0.3576,0.003144,-0.3784,0.004689
LOC727896,1.6768,2e-06,1.4335,1e-05
CYP4F35P,0.0195,0.166796,0.0607,0.066151
LINC00526,-0.6441,0.090188,-0.5038,0.175425
AQP4-AS1,-0.4153,0.136702,-0.3367,0.222124
LINC00305,0.0073,0.321537,0.0357,0.195689
LOC644669,0.0,nan,0.0,nan
PARD6G-AS1,0.0931,0.023263,0.2129,0.002503
MIR187,0.0,nan,0.0,nan
MIR1-2,0.0,nan,0.0,nan
MIR122,0.0,nan,0.0,nan
MIR133A1,0.0,nan,0.0,nan
MIR924,0.0,nan,0.0,nan
MIR320C1,0.0,nan,0.0,nan
MIR302F,0.0,nan,0.0,nan
MIR1539,0.0,nan,0.0,nan
MIR320C2,0.0,nan,0.0566,0.322778
CBX3P2,-0.1883,0.509374,-0.2064,0.47429
ROCK1P1,-0.2305,0.278363,-0.2307,0.279143
LINC01924,0.045,0.321537,0.0178,0.322778
LOC643542,0.0739,0.136356,0.0584,0.255921
LINC01538,0.0,nan,0.0,nan
LINC00668,-0.2502,0.281879,-0.2128,0.365605
LINC02864,0.0925,0.097994,0.0262,0.159772
MIR3156-2,0.0,nan,0.0,nan
MIR4318,0.0,nan,0.0,nan
MIR4319,0.0,nan,0.0,nan
MIR4320,0.0,nan,0.0,nan
MIR4317,0.0,nan,0.0,nan
DLGAP1-AS5,-0.2263,0.299714,0.2832,0.270328
MIR3929,0.0,nan,0.0,nan
LINC01541,0.0,nan,0.0194,0.322778
LINC02582,0.0162,0.321537,0.0538,0.200199
MIR3976HG,0.0,nan,0.0,nan
DLGAP1-AS3,-0.2757,0.363209,-0.2208,0.467614
MIR4526,0.0,nan,0.0,nan
MIR4527,0.0,nan,0.0,nan
MIR4529,0.0,nan,0.0,nan
MIR3975,0.0181,0.321537,0.0,nan
MIR3976,0.0,nan,0.0,nan
MIR4741,0.0,nan,0.0,nan
MIR4743,0.0,nan,0.0,nan
MIR4744,0.0,nan,0.0,nan
MIR3591,0.0,nan,0.0,nan
ZNF236-DT,0.0198,0.321537,0.0399,0.083496
LINC01539,-0.0363,0.645287,-0.0437,0.573733
LDLRAD4-AS1,0.1453,0.641963,0.1575,0.619369
LINC01915,0.019,0.836954,-0.0486,0.581317
LOC339298,0.0465,0.180911,0.0,nan
LINC01630,0.1681,0.09153,0.1034,0.327403
ANKRD20A5P,0.4654,0.184743,0.3955,0.269654
DSG2-AS1,0.0551,0.221005,0.0769,0.127553
LINC00907,-0.0223,0.945738,-0.0349,0.914731
LINC-ROR,0.0,nan,0.0,nan
MIR5011,0.0,nan,0.0,nan
MIR5190,0.0,nan,0.0,nan
MIR5583-1,0.0,nan,0.0,nan
MIR5583-2,0.0,nan,0.0,nan
MIR548AV,0.0,nan,0.0,nan
C18orf61,-0.2796,0.365734,-0.2414,0.433791
DLGAP1-AS4,0.0158,0.160362,0.0093,0.322778
GATA6-AS1,0.0965,0.626098,0.034,0.867868
RBFADN,-0.2047,0.330566,-0.0425,0.844684
LINC01544,-0.1311,0.465318,-0.1518,0.400158
LINC01029,0.0,nan,0.0,nan
LINC01443,-0.0373,0.744144,0.0561,0.640243
MIR6718,0.0,nan,0.0,nan
MIR6788,0.0,nan,0.0,nan
MIR7153,0.0,nan,0.0,nan
MIR8057,0.0,nan,0.0,nan
MIR8078,0.0,nan,0.0,nan
MIR133A1HG,-0.0353,0.887489,-0.1026,0.685157
GAPLINC,-0.3915,0.471372,-0.4418,0.419761
LINC01929,1.0817,0.0,0.4078,0.00277
LINC01416,-0.2591,0.401847,-0.2208,0.481718
LINC01543,0.0,nan,0.0476,0.047283
LINC01882,-0.047,0.831203,-0.1187,0.590773
LINC01910,0.0997,0.146899,0.0632,0.357896
L3MBTL4-AS1,-0.7515,0.063761,-0.3006,0.435932
NDUFV2-AS1,-0.0857,0.730086,-0.1444,0.563216
PPP4R1-AS1,0.0343,0.766691,0.0813,0.502311
LINC01254,-0.3674,0.071228,-0.3589,0.077014
LOC101927410,-0.0237,0.656454,-0.0394,0.446157
LINC01255,0.0,nan,0.0,nan
LOC101927571,-0.1957,0.272087,-0.1394,0.437282
LINC01444,0.0067,0.321537,0.0173,0.322778
LINC01927,0.0094,0.321537,0.0,nan
DSCAS,0.0,nan,0.0,nan
DSG1-AS1,0.1521,0.002034,0.183,0.001375
LINC01477,0.0,nan,0.0,nan
LINC01478,0.1126,0.112203,0.191,0.02965
TTC39C-AS1,0.2897,0.569417,0.0759,0.881826
LINC01919,0.0,nan,0.0098,0.322778
LINC01917,0.0538,0.075436,0.0447,0.086503
SLC14A2-AS1,0.0827,0.003227,0.0555,0.229
SNHG22,0.0339,0.224494,0.0432,0.166081
DLGAP1-AS2,-0.0461,0.88913,-0.045,0.894197
LINC00683,0.0397,0.606658,0.0872,0.295586
LINC01387,0.0,nan,0.0,nan
GACAT2,-0.4343,0.026808,-0.4054,0.036027
LINC01879,-0.3224,0.374815,-0.3248,0.371317
LOC101927188,0.4724,0.129271,0.2895,0.338731
LINC01899,0.0,nan,0.0,nan
LINC01909,-0.157,0.565573,-0.1727,0.5363
LOC104968399,0.0566,0.325732,0.1844,0.046301
MIR4528,0.0,nan,0.0,nan
LINC01601,0.0,nan,0.0,nan
LINC01922,0.0,nan,0.0,nan
SNORA108,0.0,nan,0.0,nan
SNORA111,0.0,nan,0.0,nan
LOC105372071,0.0,nan,0.0,nan
TCF4-AS1,-0.0991,0.380205,-0.0671,0.55646
LOC105372179,-0.2484,0.329199,-0.3479,0.178269
LOC105372069,-0.0623,0.811554,-0.0618,0.817122
LOC105372068,0.0,nan,0.0,nan
LOC105372038,0.0,nan,0.0,nan
LOC105372028,0.0,nan,0.0,nan
LOC101927809,-0.1373,0.343436,-0.1373,0.343436
LOC101927168,-0.248,0.190222,-0.3189,0.102527
LINC01898,-0.2478,0.423529,-0.2689,0.383529
LOC100505797,0.0,nan,0.0081,0.322778
LOC101927989,0.9628,0.005761,1.0416,0.003632
LINC01925,0.0,nan,0.0,nan
LOC105371998,0.1062,0.369305,0.1113,0.365527
LOC284241,0.0518,0.104364,0.02,0.166946
LINC01415,0.0051,0.985914,-0.0277,0.923234
LIVAR,0.355,0.15982,0.3657,0.139648
LINC01903,0.1453,0.030028,0.0697,0.330614
LINC01895,-0.1373,0.343436,-0.1373,0.343436
LINC01893,0.0,nan,0.0,nan
LINC01887,-0.1731,0.605476,-0.1033,0.760986
LINC01905,0.0,nan,0.0,nan
C18orf15,0.1329,0.001152,0.2371,0.001068
LINC01904,0.0,nan,0.0,nan
LINC01892,0.0,nan,0.0,nan
LINC01928,0.0,nan,0.0,nan
LINC01894,-0.1026,0.386747,-0.0976,0.416287
LINC01926,0.0549,0.028748,0.0129,0.322778
MIR4527HG,-0.2454,0.69782,-0.2434,0.702605
LOC284240,-0.1249,0.485123,-0.133,0.459572
LOC642484,0.001,0.984312,-0.0073,0.872615
LOC100129878,0.0066,0.887729,0.0344,0.526551
LINC02565,0.0,nan,0.0,nan
LINC01902,-0.0376,0.867804,-0.1563,0.479526
GTSCR1,0.1665,0.597362,0.0068,0.982622
C18orf65,0.2244,0.136439,0.2764,0.09308
LOC100505549,1.1271,0.000615,1.043,0.001072
LOC101927322,-0.033,0.787126,0.1614,0.23578
APOE,-1.1736,0.0,-1.3383,0.0
C3,-0.5325,0.109392,-0.3392,0.284168
CACNA1A,-0.4508,0.273167,-0.2479,0.542601
COMP,-0.8144,0.133567,-0.2953,0.587228
EPOR,0.0538,0.861096,-0.1303,0.67811
FTL,0.7514,0.000369,0.7711,0.000304
FUT1,-0.2515,0.466393,-0.5157,0.150584
FUT3,1.1047,0.030638,0.2799,0.547765
FUT6,0.2007,0.014721,0.041,0.322778
GAMT,-2.3314,0.000103,-2.4691,4e-05
GCDH,-0.6291,0.055895,-0.6198,0.062221
GIPR,-0.1537,0.730494,-0.205,0.646655
GPI,0.292,0.014464,0.4831,0.000526
ICAM1,2.6223,0.0,2.3362,0.0
INSR,-0.1647,0.45722,-0.3541,0.135697
JAK3,3.327,2e-06,3.0283,4e-06
LIG1,-1.5582,0.0,-1.1508,0.000286
