gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
MIR3138,0.0,nan,0.0,nan
MIR3139,0.0,nan,0.0,nan
MIR3140,0.0,nan,0.0,nan
MIR548T,0.0,nan,0.0,nan
MIR4276,0.0,nan,0.0,nan
MIR4275,0.0,nan,0.0,nan
MIR4274,0.0,nan,0.0,nan
LOC100129917,0.7238,0.081929,0.5411,0.177951
MIR3684,0.0,nan,0.0,nan
MIR3688-1,0.0,nan,0.0,nan
MIR3945,0.0,nan,0.0,nan
HHIP-AS1,-0.8909,0.029393,-0.7856,0.049819
LINC01061,-0.0379,0.920692,-0.0082,0.983215
LOC645513,0.0277,0.045486,0.0787,0.019985
LINC02495,0.0,nan,0.0,nan
LINC00616,0.0,nan,0.0,nan
SLIT2-IT1,0.0099,0.321537,0.0081,0.322778
LOC100505912,0.0122,0.973031,0.2826,0.44059
LINC02275,0.0873,0.285304,0.0263,0.737703
LOC100507053,0.8869,0.005058,0.4863,0.101187
STX18-AS1,-0.1821,0.54836,-0.3616,0.237963
SEPSECS-AS1,0.2902,0.448869,0.294,0.448764
SRD5A3-AS1,0.0039,0.988341,0.0221,0.935926
LINC01094,2.1105,0.003835,1.9785,0.005785
LINC01095,0.0,nan,0.0,nan
LINC01088,-0.9491,0.006797,-0.7762,0.019862
SLC7A11-AS1,1.706,0.000129,1.1503,0.004102
LINC00989,-0.5801,0.114568,-0.8143,0.033787
LINC02431,0.0,nan,0.0,nan
AFF1-AS1,-0.7718,0.035876,-0.3797,0.267387
CPEB2-DT,-0.168,0.446923,-0.1609,0.46811
LOC339975,0.0282,0.103271,0.0119,0.322778
MIR378D1,0.0,nan,0.0,nan
MIR4449,0.0,nan,0.0,nan
MIR548AG1,0.0,nan,0.0,nan
MIR4450,0.0,nan,0.0,nan
MIR548AH,0.0,nan,0.0,nan
MIR4451,0.0,nan,0.0,nan
MIR4452,0.0,nan,0.0,nan
MIR4453,0.0,nan,0.0,nan
MIR4455,0.0043,0.321537,0.0,nan
MIR4798,0.0,nan,0.0,nan
