Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cellular response to ATP (GO:0071318),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,P2RX4;P2RY2;PDXP;HSP90B1;SSH1
GO_Biological_Process_2021,endoplasmic reticulum to cytosol transport (GO:1903513),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,NPLOC4;SELENOS;FAF2;SEL1L;HSP90B1
GO_Biological_Process_2021,endoplasmic reticulum tubular network organization (GO:0071786),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,RAB10;ZFYVE27;ARL6IP1;TMEM33;TMEM170A
GO_Biological_Process_2021,glucosamine-containing compound metabolic process (GO:1901071),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,CHST6;NAGK;PGM3;CHST1;CHST2
GO_Biological_Process_2021,GTP metabolic process (GO:0046039),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,IMPDH1;EFL1;LRRK2;ENTPD7;GNAI3
GO_Biological_Process_2021,integrated stress response signaling (GO:0140467),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,CXCL8;DDIT3;CCL2;OMA1;NFE2L2
GO_Biological_Process_2021,lipoxygenase pathway (GO:0019372),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,GPX1;ALOX5;ALOX5AP;ALOX12B;PTGS2
GO_Biological_Process_2021,modulation by host of viral genome replication (GO:0044827),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,CCNK;CCL8;IFI27;ZC3H12A;PPIB
GO_Biological_Process_2021,negative regulation of mRNA processing (GO:0050686),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,SFSWAP;U2AF2;SRSF4;SRSF7;SRSF12
GO_Biological_Process_2021,negative regulation of ubiquitin-protein transferase activity (GO:0051444),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,MAD2L2;DTX3L;FBXO5;SMAD7;MAD2L1
GO_Biological_Process_2021,placenta development (GO:0001890),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,ADAM19;CUL7;PHLDA2;E2F7;E2F8
GO_Biological_Process_2021,positive regulation of cell killing (GO:0031343),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,IFNG;CLEC7A;WNT5A;PRF1;CYBA
GO_Biological_Process_2021,positive regulation of pattern recognition receptor signaling pathway (GO:0062208),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,USP15;TLR9;DDX60;OASL;TLR2
GO_Biological_Process_2021,positive regulation of protein export from nucleus (GO:0046827),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,BAG3;IL1B;TPR;GTSE1;RBM22
GO_Biological_Process_2021,regulation of phospholipase C activity (GO:1900274),5/15,0.1100021839248587,0.3722099549759829,0,0,2.328332861590716,5.139224489003157,PDGFRA;FLT1;ABL2;BICD1;RASGRP1
